local,total_area_plantada_hectare,total_cacau_semente_hectare
Bandeirantes do Tocantins (TO),362,-
Barra do Ouro (TO),5704,-
Barrolândia (TO),242,-
Bernardo Sayão (TO),150,-
Bom Jesus do Tocantins (TO),23965,-
Brasilândia do Tocantins (TO),763,-
Brejinho de Nazaré (TO),26371,-
Buriti do Tocantins (TO),114,-
Cachoeirinha (TO),303,-
Campos Lindos (TO),104159,-
Cariri do Tocantins (TO),17868,-
Carmolândia (TO),151,-
Carrasco Bonito (TO),141,-
Caseara (TO),54950,-
Centenário (TO),8365,-
Chapada de Areia (TO),444,-
Chapada da Natividade (TO),16887,-
Colinas do Tocantins (TO),61,-
Combinado (TO),208,-
Conceição do Tocantins (TO),231,-
Couto Magalhães (TO),9005,-
Cristalândia (TO),12148,-
Crixás do Tocantins (TO),7812,-
Darcinópolis (TO),13570,-
Dianópolis (TO),2243,-
Divinópolis do Tocantins (TO),11355,-
Dois Irmãos do Tocantins (TO),6226,-
Dueré (TO),13000,-
Esperantina (TO),232,-
Fátima (TO),2233,-
Figueirópolis (TO),25297,-
Filadélfia (TO),304,-
Formoso do Araguaia (TO),25032,-
Tabocão (TO),8612,-
Goianorte (TO),3184,-
Goiatins (TO),23054,-
Guaraí (TO),14187,-
Gurupi (TO),13053,-
Ipueiras (TO),3723,-
Itacajá (TO),8961,-
Itaguatins (TO),254,-
Itapiratins (TO),17440,-
Itaporã do Tocantins (TO),161,-
Jaú do Tocantins (TO),2837,-
Juarina (TO),56,-
Lagoa da Confusão (TO),95647,-
Lagoa do Tocantins (TO),2771,-
Lajeado (TO),355,-
Lavandeira (TO),139,-
Lizarda (TO),4410,-
Luzinópolis (TO),801,-
Marianópolis do Tocantins (TO),34333,-
Mateiros (TO),51218,-
Maurilândia do Tocantins (TO),407,-
Miracema do Tocantins (TO),25418,-
Miranorte (TO),14750,-
Monte do Carmo (TO),49535,-
Monte Santo do Tocantins (TO),1703,-
Palmeiras do Tocantins (TO),871,-
Muricilândia (TO),1013,-
Natividade (TO),2809,-
Nazaré (TO),344,-
Nova Olinda (TO),707,-
Nova Rosalândia (TO),7365,-
Novo Acordo (TO),7081,-
Novo Alegre (TO),170,-
Novo Jardim (TO),216,-
Oliveira de Fátima (TO),1832,-
Palmeirante (TO),5928,-
Palmeirópolis (TO),3252,-
Paraíso do Tocantins (TO),3217,-
Paranã (TO),422,-
Pau D'Arco (TO),242,-
Pedro Afonso (TO),53415,-
Peixe (TO),53879,-
Pequizeiro (TO),1154,-
Colméia (TO),101,-
Pindorama do Tocantins (TO),1583,-
Piraquê (TO),6380,-
Pium (TO),41929,-
Ponte Alta do Bom Jesus (TO),326,-
Ponte Alta do Tocantins (TO),219,-
Porto Alegre do Tocantins (TO),163,-
Porto Nacional (TO),58319,-
Praia Norte (TO),260,-
Presidente Kennedy (TO),31,-
Pugmil (TO),2934,-
Recursolândia (TO),425,-
Riachinho (TO),386,-
Rio da Conceição (TO),99,-
Rio dos Bois (TO),17687,-
Rio Sono (TO),5749,-
Sampaio (TO),595,-
Sandolândia (TO),1023,-
Santa Fé do Araguaia (TO),16203,-
Santa Maria do Tocantins (TO),11100,-
Santa Rita do Tocantins (TO),25160,-
Santa Rosa do Tocantins (TO),40944,-
Santa Tereza do Tocantins (TO),60,-
Santa Terezinha do Tocantins (TO),199,-
São Bento do Tocantins (TO),1444,-
São Félix do Tocantins (TO),42,-
São Miguel do Tocantins (TO),296,-
São Salvador do Tocantins (TO),165,-
São Sebastião do Tocantins (TO),139,-
São Valério (TO),14665,-
Silvanópolis (TO),29300,-
Sítio Novo do Tocantins (TO),169,-
Sucupira (TO),17257,-
Taguatinga (TO),3515,-
Taipas do Tocantins (TO),140,-
Talismã (TO),14681,-
Palmas (TO),21690,-
Tocantínia (TO),4215,-
Tocantinópolis (TO),442,-
Tupirama (TO),19621,-
Tupiratins (TO),1073,-
Wanderlândia (TO),1810,-
Xambioá (TO),1429,-
Açailândia (MA),55615,-
Afonso Cunha (MA),7306,-
Água Doce do Maranhão (MA),1089,-
Alcântara (MA),1291,-
Aldeias Altas (MA),9091,-
Altamira do Maranhão (MA),1062,-
Alto Alegre do Maranhão (MA),572,-
Alto Alegre do Pindaré (MA),666,-
Alto Parnaíba (MA),74763,-
Amapá do Maranhão (MA),482,-
Amarante do Maranhão (MA),2050,-
Anajatuba (MA),767,-
Anapurus (MA),10302,-
Apicum-Açu (MA),572,-
Araguanã (MA),646,-
Araioses (MA),1875,-
Arame (MA),3456,-
Arari (MA),3181,-
Axixá (MA),486,-
Bacabal (MA),2550,-
Bacabeira (MA),212,-
Bacuri (MA),902,-
Bacurituba (MA),415,-
Balsas (MA),322620,-
Barão de Grajaú (MA),1459,-
Barra do Corda (MA),4244,-
Barreirinhas (MA),5143,-
Belágua (MA),793,-
Bela Vista do Maranhão (MA),278,-
Benedito Leite (MA),4991,-
Bequimão (MA),2099,-
Bernardo do Mearim (MA),592,-
Boa Vista do Gurupi (MA),271,-
Bom Jardim (MA),14895,-
Bom Jesus das Selvas (MA),9074,-
Bom Lugar (MA),1375,-
Brejo (MA),19130,-
Brejo de Areia (MA),1007,-
Buriti (MA),15943,-
Buriti Bravo (MA),7531,-
Buriticupu (MA),35774,-
Buritirana (MA),345,-
Cachoeira Grande (MA),627,-
Cajapió (MA),584,-
Cajari (MA),914,-
Campestre do Maranhão (MA),7519,-
Cândido Mendes (MA),759,-
Cantanhede (MA),1797,-
Capinzal do Norte (MA),1155,-
Carolina (MA),50453,-
Carutapera (MA),670,-
Caxias (MA),12974,-
Cedral (MA),695,-
Central do Maranhão (MA),571,-
Centro do Guilherme (MA),1424,-
