local,total_area_plantada_hectare,total_cacau_semente_hectare
Oliveira de Fátima (TO),2065,-
Palmeirante (TO),12511,-
Palmeirópolis (TO),5112,-
Paraíso do Tocantins (TO),2673,-
Paranã (TO),1123,-
Pau D'Arco (TO),538,-
Pedro Afonso (TO),67750,-
Peixe (TO),69414,-
Pequizeiro (TO),3430,-
Colméia (TO),116,-
Pindorama do Tocantins (TO),8875,-
Piraquê (TO),10916,-
Pium (TO),46291,-
Ponte Alta do Bom Jesus (TO),366,-
Ponte Alta do Tocantins (TO),569,-
Porto Alegre do Tocantins (TO),1575,-
Porto Nacional (TO),64450,-
Praia Norte (TO),118,-
Presidente Kennedy (TO),38,-
Pugmil (TO),5828,-
Recursolândia (TO),327,-
Riachinho (TO),428,-
Rio da Conceição (TO),94,-
Rio dos Bois (TO),16426,-
Rio Sono (TO),6354,-
Sampaio (TO),648,-
Sandolândia (TO),1590,-
Santa Fé do Araguaia (TO),18058,-
Santa Maria do Tocantins (TO),17538,-
Santa Rita do Tocantins (TO),31704,-
Santa Rosa do Tocantins (TO),51252,-
Santa Tereza do Tocantins (TO),92,-
Santa Terezinha do Tocantins (TO),226,-
São Bento do Tocantins (TO),1515,-
São Félix do Tocantins (TO),85,-
São Miguel do Tocantins (TO),270,-
São Salvador do Tocantins (TO),337,-
São Sebastião do Tocantins (TO),149,-
São Valério (TO),18640,-
Silvanópolis (TO),31152,-
Sítio Novo do Tocantins (TO),249,-
Sucupira (TO),17953,-
Taguatinga (TO),910,-
Taipas do Tocantins (TO),142,-
Talismã (TO),17735,-
Palmas (TO),21004,-
Tocantínia (TO),4391,-
Tocantinópolis (TO),452,-
Tupirama (TO),18680,-
Tupiratins (TO),1400,-
Wanderlândia (TO),1850,-
Xambioá (TO),1425,-
Açailândia (MA),77700,-
Afonso Cunha (MA),10586,-
Água Doce do Maranhão (MA),985,-
Alcântara (MA),1037,-
Aldeias Altas (MA),9839,-
Altamira do Maranhão (MA),1102,-
Alto Alegre do Maranhão (MA),658,-
Alto Alegre do Pindaré (MA),1071,-
Alto Parnaíba (MA),83944,-
Amapá do Maranhão (MA),448,-
Amarante do Maranhão (MA),3113,-
Anajatuba (MA),794,-
Anapurus (MA),9267,-
Apicum-Açu (MA),499,-
Araguanã (MA),448,-
Araioses (MA),1751,-
Arame (MA),3530,-
Arari (MA),4038,-
Axixá (MA),394,-
Bacabal (MA),2646,-
Bacabeira (MA),232,-
Bacuri (MA),792,-
Bacurituba (MA),327,-
Balsas (MA),336215,-
Barão de Grajaú (MA),1066,-
Barra do Corda (MA),4762,-
Barreirinhas (MA),3423,-
Belágua (MA),529,-
Bela Vista do Maranhão (MA),201,-
Benedito Leite (MA),7428,-
Bequimão (MA),1395,-
Bernardo do Mearim (MA),444,-
Boa Vista do Gurupi (MA),239,-
Bom Jardim (MA),14443,-
Bom Jesus das Selvas (MA),9534,-
Bom Lugar (MA),1035,-
Brejo (MA),18415,-
Brejo de Areia (MA),982,-
Buriti (MA),15907,-
Buriti Bravo (MA),18846,-
Buriticupu (MA),41853,-
Buritirana (MA),424,-
Cachoeira Grande (MA),433,-
Cajapió (MA),533,-
Cajari (MA),1244,-
Campestre do Maranhão (MA),7002,-
Cândido Mendes (MA),698,-
Cantanhede (MA),1815,-
Capinzal do Norte (MA),965,-
Carolina (MA),49778,-
Carutapera (MA),392,-
Caxias (MA),18620,-
Cedral (MA),498,-
Central do Maranhão (MA),452,-
Centro do Guilherme (MA),1017,-
Centro Novo do Maranhão (MA),916,-
Chapadinha (MA),7137,-
Cidelândia (MA),9240,-
Codó (MA),8642,-
Coelho Neto (MA),6195,-
Colinas (MA),11520,-
Conceição do Lago-Açu (MA),786,-
Coroatá (MA),3911,-
Cururupu (MA),510,-
Davinópolis (MA),323,-
Dom Pedro (MA),1960,-
Duque Bacelar (MA),1044,-
Esperantinópolis (MA),1532,-
Estreito (MA),7304,-
Feira Nova do Maranhão (MA),4276,-
Fernando Falcão (MA),11990,-
Formosa da Serra Negra (MA),2607,-
Fortaleza dos Nogueiras (MA),30194,-
Fortuna (MA),11082,-
Godofredo Viana (MA),333,-
Gonçalves Dias (MA),1716,-
Governador Archer (MA),543,-
Governador Edison Lobão (MA),219,-
Governador Eugênio Barros (MA),4042,-
Governador Luiz Rocha (MA),5376,-
Governador Newton Bello (MA),398,-
Governador Nunes Freire (MA),965,-
Graça Aranha (MA),1283,-
Grajaú (MA),39859,-
Guimarães (MA),712,-
Humberto de Campos (MA),602,-
Icatu (MA),679,-
Igarapé do Meio (MA),234,-
Igarapé Grande (MA),653,-
Imperatriz (MA),255,-
Itaipava do Grajaú (MA),976,-
Itapecuru Mirim (MA),2626,-
Itinga do Maranhão (MA),35678,-
Jatobá (MA),2399,-
Jenipapo dos Vieiras (MA),1368,-
João Lisboa (MA),772,-
Joselândia (MA),767,-
Junco do Maranhão (MA),338,-
Lago da Pedra (MA),7590,-
Lago do Junco (MA),869,-
Lago Verde (MA),598,-
Lagoa do Mato (MA),2107,-
Lago dos Rodrigues (MA),901,-
Lagoa Grande do Maranhão (MA),1278,-
Lajeado Novo (MA),1491,-
Lima Campos (MA),1017,-
Loreto (MA),54345,-
Luís Domingues (MA),346,-
Magalhães de Almeida (MA),5959,-
Maracaçumé (MA),493,-
Marajá do Sena (MA),2868,-
Maranhãozinho (MA),570,-
Mata Roma (MA),9703,-
Matinha (MA),1081,-
Matões (MA),12128,-
Matões do Norte (MA),1555,-
Milagres do Maranhão (MA),5930,-
Mirador (MA),25759,-
Miranda do Norte (MA),697,-
Mirinzal (MA),870,-
Monção (MA),933,-
Montes Altos (MA),481,-
Morros (MA),763,-
Nina Rodrigues (MA),508,-
Nova Colinas (MA),4397,-
Nova Iorque (MA),1375,-
Nova Olinda do Maranhão (MA),831,-
Olho d'Água das Cunhãs (MA),680,-
Olinda Nova do Maranhão (MA),855,-
Paço do Lumiar (MA),203,-
Palmeirândia (MA),1676,-
Paraibano (MA),2138,-
Parnarama (MA),19338,-
Passagem Franca (MA),2953,-
Pastos Bons (MA),12537,-
Paulino Neves (MA),815,-
Paulo Ramos (MA),1665,-
Pedreiras (MA),714,-
Pedro do Rosário (MA),1440,-
Penalva (MA),2147,-
Peri Mirim (MA),705,-
Peritoró (MA),1161,-
Pindaré-Mirim (MA),276,-
Pinheiro (MA),2043,-
Pio XII (MA),975,-
Pirapemas (MA),1218,-
Poção de Pedras (MA),1283,-
Porto Franco (MA),1534,-
Porto Rico do Maranhão (MA),505,-
Presidente Dutra (MA),1955,-
Presidente Juscelino (MA),479,-
Presidente Médici (MA),485,-
Presidente Sarney (MA),1594,-
Presidente Vargas (MA),914,-
Primeira Cruz (MA),279,-
Raposa (MA),24,-
Riachão (MA),79149,-
Ribamar Fiquene (MA),2250,-
Rosário (MA),185,-
Sambaíba (MA),69770,-
Santa Filomena do Maranhão (MA),714,-
Santa Helena (MA),883,-
Santa Inês (MA),409,-
Santa Luzia (MA),25984,-
Santa Luzia do Paruá (MA),708,-
Santa Quitéria do Maranhão (MA),6223,-
Santa Rita (MA),298,-
Santana do Maranhão (MA),948,-
Santo Amaro do Maranhão (MA),2988,-
Santo Antônio dos Lopes (MA),1507,-
São Benedito do Rio Preto (MA),2511,-
São Bento (MA),922,-
São Bernardo (MA),4173,-
São Domingos do Azeitão (MA),37345,-
São Domingos do Maranhão (MA),6586,-
São Félix de Balsas (MA),8500,-
São Francisco do Brejão (MA),442,-
São Francisco do Maranhão (MA),1727,-
São João Batista (MA),564,-
São João do Carú (MA),609,-
São João do Paraíso (MA),647,-
São João do Soter (MA),12851,-
São João dos Patos (MA),7820,-
São José de Ribamar (MA),53,-
São José dos Basílios (MA),1875,-
São Luís (MA),50,-
São Luís Gonzaga do Maranhão (MA),2168,-
São Mateus do Maranhão (MA),8413,-
São Pedro da Água Branca (MA),734,-
São Pedro dos Crentes (MA),2864,-
São Raimundo das Mangabeiras (MA),64815,-
São Raimundo do Doca Bezerra (MA),836,-
São Roberto (MA),417,-
São Vicente Ferrer (MA),1360,-
Satubinha (MA),590,-
Senador Alexandre Costa (MA),13223,-
Senador La Rocque (MA),310,-
Serrano do Maranhão (MA),960,-
Sítio Novo (MA),3213,-
Sucupira do Norte (MA),9524,-
Sucupira do Riachão (MA),1975,-
Tasso Fragoso (MA),282630,-
Timbiras (MA),2416,-
Timon (MA),4676,-
Trizidela do Vale (MA),653,-
Tufilândia (MA),156,-
Tuntum (MA),7551,-
Turiaçu (MA),2344,-
Turilândia (MA),1177,-
Tutóia (MA),2224,-
Urbano Santos (MA),2696,-
Vargem Grande (MA),2288,-
Viana (MA),2782,-
Vila Nova dos Martírios (MA),4483,-
Vitória do Mearim (MA),1785,-
Vitorino Freire (MA),2268,-
Zé Doca (MA),1227,-
Acauã (PI),2432,-
Agricolândia (PI),1131,-
Água Branca (PI),516,-
Alagoinha do Piauí (PI),7445,-
Alegrete do Piauí (PI),3083,-
Alto Longá (PI),3115,-
Altos (PI),1663,-
Alvorada do Gurguéia (PI),4346,-
Amarante (PI),4932,-
Angical do Piauí (PI),959,-
Anísio de Abreu (PI),3694,-
Antônio Almeida (PI),9786,-
Aroazes (PI),730,-
Aroeiras do Itaim (PI),2313,-
Arraial (PI),1049,-
Assunção do Piauí (PI),4729,-
Avelino Lopes (PI),2635,-
Baixa Grande do Ribeiro (PI),343143,-
Barra D'Alcântara (PI),696,-
Barras (PI),5969,-
Barreiras do Piauí (PI),12382,-
Barro Duro (PI),1371,-
Batalha (PI),4316,-
